Symbol,Quantity,Mkt val,Mark,Avg price,Last,1D open P&L,1D open P&L %,Open P&L,Open P&L %
BRK.B,17.459825,"$8,214.67","$470.49","$475.18","$470.49",-1.05,0.01%,"$81.89",0.98%
IBIT,300,"$13,174.59","$43.92","$51.80","$43.92",-40.41,-0.31%,"$2,366.26",15.23%
META,12.250788,"$8,271.49","$675.18","$624.80","$675.18",196.38,2.43%,"$617.20",8.06%
MSFT,38.179174,"$16,183.39","$423.88","$395.89","$423.88",310.40,1.96%,"$1,068.73",7.07%
"NVDA 5/15 $190 Call",-1,"-$2,043.00","$20.43","$5.00","$20.47",708.00,53.03%,"$1,543.00",308.60%
NVDA,100,"$20,810.00","$208.10","$180.75","$208.10",846.00,4.24%,"$2,735.40",15.13%
QQQ,29.206654,"$19,377.45","$663.46","$606.71","$663.46",351.65,1.85%,"$1,657.49",9.35%
SNAP,600,"$3,378.00","$5.63","$8.82","$5.63",-36.00,-1.08%,"$1,914.27",-36.17%
